Charity/IPC Name,UENNo,Activities,Registration Date,Financial Size,Sector,Charity Status,Classification,Sector Administrator
Welcare Student Care Centre,T02SS0141C,Training & education,13/9/2002,"$50,000 and <$200,000",Social and Welfare,Registered,Children/Youth,Ministry of Social and Family Development
"Wai San Buddhist Society, Singapore",S73SS0002K,Research,26/7/1990,"$50,000 and <$200,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
VENERABLE SECK HONG CHOON MEMORIAL FOUNDATION,S99CC1379L,,27/8/1999,"$50,000 and <$200,000",Religious,Deregistered,Buddhism,"Ministry of Culture, Community and Youth"
"Varsity Christian Fellowship, Singapore, The",S61SS0159G,Direct Services,07/11/1992,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
University Staff Christian Fellowship,S84SS0021K,,03/8/1996,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
United Indian Muslim Association,S64SS0034H,"Financial assistance, bursaries & scholarships",06/2/2008,"$50,000 and <$200,000",Sports,Registered,Others,"Ministry of Culture, Community and Youth"
UNCHAINED-SE LIMITED,202000697G,Direct Services,13/10/2020,"$50,000 and <$200,000",Social and Welfare,Registered,Community,Ministry of Social and Family Development
UMAR PULAVAR SCHOLARSHIP TRUST FUND,S87CC0469D,,29/7/1987,"$50,000 and <$200,000",Education,Registered,Foundations & Trusts,Ministry of Education
ULU PANDAN CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S86CC0308D,"Financial assistance, bursaries & scholarships",25/3/1986,"$50,000 and <$200,000",Community,Registered with IPC,North West,People's Association
Tuan Kong Beo (Teochew) Temple,S94SS0099E,,15/8/2001,"$50,000 and <$200,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
"TRUST FUND OF THE CLEFT LIP AND PALATE ASSN OF SINGAPORE (CLAPAS), THE",T04CC1811H,Training & education,17/9/2004,"$50,000 and <$200,000",Health,Registered,Trust/Research Funds,Ministry of Health
Triumphs Of His Grace,S91SS0046K,Training & education,03/8/1995,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
TRINITY ANNUAL CONFERENCE WOMEN'S SOCIETY OF CHRISTIAN SERVICE,S90CC0754D,Supports other Charities,05/10/1990,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
TRI SECTOR CHARITY CONSULTANTS LTD.,202002000C,Supports other Charities,28/4/2021,"$50,000 and <$200,000",Others,Registered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
TOONG CHAI PRESBYTERIAN CHURCH,T11SS0127L,,28/3/1989,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Toa Payoh West-Thomson CCC Community Development and Welfare Fund,T07CC2047L,"Financial assistance, bursaries & scholarships",04/9/2007,"$50,000 and <$200,000",Community,Registered with IPC,Central,People's Association
TOA PAYOH TAMIL METHODIST CHURCH (ETAC),S87CC0511B,,05/10/1987,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Tiow Hoon Tien Chinese Temple,T00SS0202D,"Public awareness, promotion & advisory",28/2/2004,"$50,000 and <$200,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
Tien Teck Po Yuan Tong,S70SS0004J,Direct Services,28/4/1986,"$50,000 and <$200,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
Tien Kong Thun Temple,S93SS0012K,Direct Services,15/5/1996,"$50,000 and <$200,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
Tian Kong & Woo Looi Ban Tin To Suay Temple,S83SS0009G,,20/9/1985,"$50,000 and <$200,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
Tian Gong Tan Temple,S88SS0030F,,06/9/2002,"$50,000 and <$200,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
THREE LEGS GOOD,T12SS0217B,"Public awareness, promotion & advisory",01/7/2013,"$50,000 and <$200,000",Others,Deregistered,Animal Welfare,"Ministry of Culture, Community and Youth"
Third Culture Kids Care Fellowship,T02SS0211A,Training & education,15/11/2003,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Thian Leng Chong Toh Tong,S61SS0096D,,21/1/1991,"$50,000 and <$200,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
THE WP COMMUNITY FUND,201401272N,Direct Services,27/2/2014,"$50,000 and <$200,000",Social and Welfare,Registered,Children/Youth,Ministry of Social and Family Development
THE WAN BOO SOW CHARITY FUND LIMITED,200509963D,"Financial assistance, bursaries & scholarships",17/11/2005,"$50,000 and <$200,000",Social and Welfare,Registered with IPC,Community,Ministry of Social and Family Development
THE VERY QUIET STUDIO LIMITED,201631481G,"Public awareness, promotion & advisory",12/12/2017,"$50,000 and <$200,000",Arts and Heritage,Registered,Historical & Cultural Conservation,"Ministry of Culture, Community and Youth"
THE UNIVERSITY OF CHICAGO BOOTH SCHOOL OF BUSINESS,199900175N,Training & education,27/1/1999,"$50,000 and <$200,000",Education,Registered,Foreign Educational Institutions/Funds,Ministry of Education
THE TADA TETSUYA SHUSHIN FOUNDATION,T09CC0005E,,05/8/2009,"$50,000 and <$200,000",Others,Deregistered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
The Stephen A. Schwarzman Scholars Trust,T14CC0002F,Training & education,09/6/2014,"$50,000 and <$200,000",Education,Registered,Foreign Educational Institutions/Funds,Ministry of Education
THE SINGAPORE YOUTH CHOIR LTD,199908127D,Training & education,06/12/2000,"$50,000 and <$200,000",Arts and Heritage,Registered,Music & Orchestras,"Ministry of Culture, Community and Youth"
THE SILVER LINING COMMUNITY SERVICES LTD.,201021112E,Training & education,30/4/2013,"$50,000 and <$200,000",Social and Welfare,Registered,Community,Ministry of Social and Family Development
THE PURPLE PARADE LTD.,201616367W,"Public awareness, promotion & advisory",31/10/2016,"$50,000 and <$200,000",,Registered with IPC,Disability (Adult),Ministry of Social and Family Development
THE PHILHARMONIC WINDS (SINGAPORE) LTD.,201711592M,Direct Services,14/9/2021,"$50,000 and <$200,000",Arts and Heritage,Registered,Music & Orchestras,"Ministry of Culture, Community and Youth"
"The Music Society, Singapore",T13SS0023B,Direct Services,06/4/2020,"$50,000 and <$200,000",Arts and Heritage,Registered,Music & Orchestras,"Ministry of Culture, Community and Youth"
THE LOCAL SPIRITUAL ASSEMBLY O F THE BAHA'IS OF QUEENSTOWN LTD,197901520Z,,05/10/1987,"$50,000 and <$200,000",Sports,Registered,Others,"Ministry of Culture, Community and Youth"
THE LOCAL SPIRITUAL ASSEMBLY O F THE BAHA'IS OF KATONG LTD,197901873Z,Training & education,07/6/1990,"$50,000 and <$200,000",Sports,Registered,Others,"Ministry of Culture, Community and Youth"
THE HAGUE INTERNATIONAL MODEL UNITED NATIONS LIMITED,200507109D,,29/5/2006,"$50,000 and <$200,000",Others,Registered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
THE GREENHOUSE COMMUNITY SERVICES LTD.,202008502N,Direct Services,22/12/2020,"$50,000 and <$200,000",Social and Welfare,Registered with IPC,Community,Ministry of Social and Family Development
The Evolution,T05SS0159B,Direct Services,05/4/2006,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
THE ELLA DOROTHY WEARNE TRUST FUND,S86CC0314C,,04/4/1986,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
The Derek Hewett Foundation 2009,T10CC0003D,"Financial assistance, bursaries & scholarships",16/3/2010,"$50,000 and <$200,000",Education,Registered,Foundations & Trusts,Ministry of Education
THE COURAGE FUND LIMITED,201331791M,"Financial assistance, bursaries & scholarships",30/10/2014,"$50,000 and <$200,000",Sports,Deregistered,Others,Ministry of Health
THALASSAEMIA SOCIETY (SINGAPORE),T03SS0230J,Direct Services,20/2/2004,"$50,000 and <$200,000",Health,Registered,Diseases/Illnessess Support Group,Ministry of Health
TFA LALITA KALA COMPANY,200410925C,,30/9/2004,"$50,000 and <$200,000",Arts and Heritage,Registered with IPC,Traditional Ethnic Performing Arts,"Ministry of Culture, Community and Youth"
TANJONG PAGAR-TIONG BAHRU CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S86CC0364F,"Financial assistance, bursaries & scholarships",19/8/1986,"$50,000 and <$200,000",Community,Registered with IPC,Central,People's Association
TANG RENAISSANCE,201630110G,Training & education,22/5/2017,"$50,000 and <$200,000",Arts and Heritage,Registered with IPC,Traditional Ethnic Performing Arts,"Ministry of Culture, Community and Youth"
Tan Kah Kee International Society,S96SS0121C,"Financial assistance, bursaries & scholarships",15/10/1999,"$50,000 and <$200,000",Sports,Registered,Others,Ministry of Education
TAN KAH KEE FOUNDATION,198200465N,"Financial assistance, bursaries & scholarships",23/7/1985,"$50,000 and <$200,000",Education,Registered with IPC,Foundations & Trusts,"Ministry of Culture, Community and Youth"
TAN JOO KEE SCHOLARSHIP FUND,S91CC0788H,"Financial assistance, bursaries & scholarships",05/2/1991,"$50,000 and <$200,000",Education,Registered,Foundations & Trusts,Ministry of Education
TAMPINES NORTH CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,T04CC1832C,"Financial assistance, bursaries & scholarships",04/11/2004,"$50,000 and <$200,000",Community,Registered with IPC,North East,People's Association
TAMPINES CHANGKAT CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S92CC0892L,"Financial assistance, bursaries & scholarships",25/8/1992,"$50,000 and <$200,000",Community,Registered with IPC,North East,People's Association
TAMPINES CENTRAL CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,T04CC1795H,"Financial assistance, bursaries & scholarships",13/7/2004,"$50,000 and <$200,000",Community,Registered with IPC,North East,People's Association
Tampines Arts Troupe,S91SS0060L,"Public awareness, promotion & advisory",01/6/2000,"$50,000 and <$200,000",Arts and Heritage,Registered with IPC,Traditional Ethnic Performing Arts,"Ministry of Culture, Community and Youth"
Taman Bacaan Pemuda Pemudi Melayu Singapura (Singapore Malay Youth Library Association),S59SS0019L,Direct Services,24/3/1998,"$50,000 and <$200,000",Social and Welfare,Registered,Children/Youth,Ministry of Social and Family Development
TAI KAK SEAH TEMPLE,T00CC1432H,"Public awareness, promotion & advisory",06/4/2000,"$50,000 and <$200,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
TABLE TENNIS FOR GOOD LIMITED,202010858N,"Public awareness, promotion & advisory",06/5/2022,"$50,000 and <$200,000",Health,Registered,Diseases/Illnessess Support Group,Ministry of Health
TABERNACLE OF HOLINESS CHURCH LIMITED,198001178E,,11/9/1991,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
T.H.E. Buddhist Nunnery,T17SS0174A,Training & education,15/11/2018,"$50,000 and <$200,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
